,workidmain,actualtimemain,warehouse,targetlicenseplateid,multiplesku,createddateandtimemain,closedworkmain,workinprocessmain,workstatusmain,companymain,workordertypemain,useridmain,actualtime,containerid,dimensionnumber,inventoryquantityremaining,inventoryworkquantity,lotid,itemnumber,configid,linenumber,loadid,locatedlicenseplateid,ordernumber,remainingquantity,workquantity,shipmentid,skipped,sortcode,unit,userid,location,workclassid,workid,createddateandtime,closedwork,workinprocess,workstatus,stoptransaction,worktype,zoneid,extrainventoryquantity,weightcaptured,company,modified,modifiedon,worktemplate,workordertype,dateadded,total_cases,CLOSEDWORK_seconds,WORKINPROCESS_seconds,increase_percentage_quantity
270,WOR1965335,98,RETAIL,6316561018719050,0,2022-01-25 16:00:29,2022-01-25 16:29:36,2022-01-25 16:27:58,4,301,2,D365.Batch,0,0.0,#0000000150F7E7BA,0,1,LO05116443,N000008188,BASE,2,LD0114781,0.0,SON0118006,0,1,SID0115543,0,0,Each,gregn,0,SALES,WOR1965335,2022-01-25 16:00:29,2022-01-25 16:29:27,2022-01-25 16:29:27,4,0,8,0,0,0,301,warehouseapp.d365,2022-01-25 16:29:27,Retail Picking,2,2023-02-02 14:08:07.500,1.0,1885637.0,1885637.0,-1049.0815071177012
103,WOR2412400,139,RETAIL,6316561020489140,0,2022-10-06 05:00:28,2022-10-10 17:13:52,2022-10-10 17:11:33,4,301,2,D365.Batch,25,0.0,#00000001514C1759,0,1,LO08778791,N000010695,V1,2,LD0149380,0.0,SON0158564,0,1,SID0151204,0,0,Each,yahaira,X4401A6,SALES,WOR2412400,2022-10-06 05:00:28,2022-10-10 17:12:14,2022-10-10 17:11:49,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-10-10 17:12:14,Retail Picking,2,2023-02-02 14:08:07.500,1.0,24179404.0,24179379.0,60.82146074643355
198,WOR2013207,41,RETAIL,6316561018936920,0,2022-02-22 17:30:21,2022-02-22 18:51:36,2022-02-22 18:50:55,4,301,2,D365.Batch,1,0.0,#0000000150A4CE9E,0,1,LO05558200,N000005126,Base,2,LD0119262,0.0,SON0122933,0,1,SID0120092,0,0,Each,meliha,0,SALES,WOR2013207,2022-02-22 17:30:21,2022-02-22 18:51:30,2022-02-22 18:51:29,4,0,8,0,0,0,301,warehouseapp.d365,2022-02-22 18:51:30,Retail Picking,2,2023-02-02 14:08:07.500,1.0,4313360.0,4313359.0,-993.0393237771733
305,WOR2067235,464,RETAIL,6316561019126270,0,2022-03-18 17:00:35,2022-03-18 18:18:12,2022-03-18 18:10:28,4,301,2,D365.Batch,87,0.0,#00000001510641DE,0,1,LO05941457,N000006797,V1,3,LD0122930,0.0,SON0126521,0,1,SID0123901,0,0,Each,rschwarz,F8201C1,SALES,WOR2067235,2022-03-18 17:00:35,2022-03-18 18:15:19,2022-03-18 18:13:52,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-03-18 18:15:19,Retail Picking,2,2023-02-02 14:08:07.500,1.0,6384789.0,6384702.0,-20.36187112605913
171,WOR2412095,39,RETAIL,6316561020485370,0,2022-10-05 20:30:31,2022-10-10 13:29:55,2022-10-10 13:29:16,4,301,2,D365.Batch,17,0.0,#00000001514C18D4,0,1,LO08774048,N000013234,Base,3,LD0149341,0.0,SON0158496,0,1,SID0151144,0,0,Each,yahaira,PACK1,SALES,WOR2412095,2022-10-05 20:30:31,2022-10-10 13:29:55,2022-10-10 13:29:38,4,0,2,0,0,0,301,warehouseapp.d365,2022-10-10 13:29:55,Retail Picking,2,2023-02-02 14:08:07.500,1.0,24166065.0,24166048.0,129.0419134508246
232,WOR1955281,273,RETAIL,6316561018662570,0,2022-01-19 14:31:00,2022-01-19 15:00:09,2022-01-19 14:55:36,4,301,2,D365.Batch,85,0.0,#0000000150FBFA17,0,1,LO04986006,N000005636,Base,2,LD0113796,0.0,SON0116925,0,1,SID0114534,0,0,Each,meliha,X4401C3,SALES,WOR1955281,2022-01-19 14:31:01,2022-01-19 14:58:28,2022-01-19 14:57:03,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-01-19 14:58:28,Retail Picking,2,2023-02-02 14:08:07.500,1.0,1361778.0,1361693.0,-450.95423242081864
11,WOR2401144,217,RETAIL,6316561020454860,0,2022-09-29 16:30:32,2022-10-03 19:40:11,2022-10-03 19:26:27,4,301,2,D365.Batch,41,0.0,#00000001514C1759,0,1,LO08702997,N000010695,V1,3,LD0148714,0.0,SON0157885,0,1,SID0150499,0,0,Each,phaskell,X4401A6,SALES,WOR2401144,2022-09-29 16:30:32,2022-10-03 19:38:13,2022-10-03 19:37:32,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-10-03 19:38:13,Retail Picking,2,2023-02-02 14:08:07.500,1.0,23583363.0,23583322.0,-152.37219116193364
202,WOR2013207,41,RETAIL,6316561018936920,0,2022-02-22 17:30:21,2022-02-22 18:51:36,2022-02-22 18:50:55,4,301,2,D365.Batch,34,0.0,#0000000150A4CE9E,0,1,LO05558200,N000005126,Base,1,LD0119262,0.0,SON0122933,0,1,SID0120092,0,0,Each,meliha,F8401C4,SALES,WOR2013207,2022-02-22 17:30:21,2022-02-22 18:51:29,2022-02-22 18:50:55,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-02-22 18:51:29,Retail Picking,2,2023-02-02 14:08:07.500,1.0,4313359.0,4313325.0,-483.2894835193921
465,WOR2404852,446,RETAIL,6316561020457190,0,2022-10-03 16:30:35,2022-10-04 13:37:27,2022-10-04 13:29:30,4,301,2,D365.Batch,276,0.0,#00000001514BDA6C,0,1,LO08742573,N000001144,V8,1,LD0148950,0.0,SON0158148,0,1,SID0150823,0,0,Each,yahaira,X4401A6,SALES,WOR2404852,2022-10-03 16:30:35,2022-10-04 13:34:06,2022-10-04 13:29:30,4,0,1,RETAIL,0,0,301,warehouseapp.d365,2022-10-04 13:34:06,Retail Picking,2,2023-02-02 14:08:07.500,1.0,23647916.0,23647640.0,-595.6722078919963
314,WOR2125525,113,RETAIL,6316561019356240,0,2022-04-20 16:30:32,2022-04-20 18:10:21,2022-04-20 18:08:28,4,301,2,D365.Batch,0,0.0,#00000001509F5340,0,3,LO06426053,N000001130,V13,2,LD0127008,0.0,SON0131099,0,3,SID0128144,0,0,Each,Carolyn,0,SALES,WOR2125525,2022-04-20 16:30:32,2022-04-20 18:09:56,2022-04-20 18:09:56,4,0,8,0,0,0,301,warehouseapp.d365,2022-04-20 18:09:56,Retail Picking,2,2023-02-02 14:08:07.500,3.0,9235666.0,9235666.0,210.15779941561456
